author_uid,institution_uid,start_date,end_date
0000-0001-5140-8573,6174,2011-01-01,2013-01-01
0000-0001-5140-8573,7b0c45d9,1997-01-01,
0000-0001-5141-5351,671c3001,,
0000-0001-5141-5351,671c3001,,
0000-0001-5141-5351,6ec8016d,,
0000-0001-5141-5351,6ec8016d,,
0000-0001-5142-6560,107854,1981-01-01,1985-01-01
0000-0001-5142-6560,grid.9762.a,1989-12-13,
0000-0001-5143-6531,246565,2014-04-07,2016-02-28
0000-0001-5143-6531,28117,2001-02-28,2006-05-20
0000-0001-5143-6531,28125,2009-08-01,2013-11-05
0000-0001-5143-6531,28125,2007-03-01,2009-05-06
0000-0001-5143-6531,4321,,
0000-0001-5143-6531,4321,2020-04-01,
0000-0001-5143-6531,4321,2016-04-01,2020-03-31
0000-0001-5144-6932,3111,,2004-01-01
0000-0001-5144-6932,3111,2016-01-01,
0000-0001-5144-6932,3111,,2004-01-01
0000-0001-5144-6932,3111,2016-01-01,
0000-0001-5144-6932,357405,,1998-01-01
0000-0001-5144-6932,357405,,1998-01-01
0000-0001-5146-1964,16268,,
0000-0001-5146-1964,16268,,
0000-0001-5147-3260,111630,,2001-01-01
0000-0001-5147-3260,111630,1998-09-01,2002-08-31
0000-0001-5147-3260,131988,1997-01-01,1998-08-31
0000-0001-5147-3260,27003,2002-09-01,
0000-0001-5147-3260,9302,1991-01-01,1993-01-01
0000-0001-5147-3260,aa93d05d,1991-01-01,1993-01-01
0000-0001-5147-3260,b1488050,,1991-01-01
0000-0001-5147-3260,e781fbf9,1993-01-01,1996-01-01
0000-0001-5150-7918,47d0dc0b,2012-01-01,2018-01-01
0000-0001-5150-7918,47d0dc0b,2012-01-01,2018-01-01
0000-0001-5150-7918,47d0dc0b,2012-01-01,2018-01-01
0000-0001-5150-7918,633012c7,2021-07-02,
0000-0001-5150-7918,633012c7,2021-07-02,
0000-0001-5150-7918,633012c7,2021-07-02,
0000-0001-5150-7918,8dfd2a7b,2019-07-02,
0000-0001-5150-7918,8dfd2a7b,2018-07-01,2019-06-30
0000-0001-5150-7918,8dfd2a7b,2019-07-02,
0000-0001-5150-7918,8dfd2a7b,2018-07-01,2019-06-30
0000-0001-5150-7918,8dfd2a7b,2019-07-02,
0000-0001-5150-7918,8dfd2a7b,2018-07-01,2019-06-30
0000-0001-5153-5652,1974,2019-01-01,2020-01-01
0000-0001-5153-5652,1974,2011-01-01,2015-01-01
0000-0001-5153-5652,e09a2b8e,2024-01-01,
0000-0001-5153-5652,e09a2b8e,2021-02-15,2023-12-31
0000-0001-5153-5652,e09a2b8e,2016-01-01,2018-01-01
0000-0001-5153-5652,fdbb3e1a,,2010-01-01
0000-0001-5153-5652,fdbb3e1a,,2003-01-01
0000-0001-5157-247X,27218,2015-01-01,2022-01-01
0000-0001-5157-247X,27218,2015-01-01,2022-01-01
0000-0001-5157-247X,27218,2015-01-01,2022-01-01
0000-0001-5157-247X,adc5011d,2022-03-01,
0000-0001-5157-247X,adc5011d,2022-03-01,
0000-0001-5157-247X,adc5011d,2022-03-01,
0000-0001-5160-4398,12443,2016-10-01,
0000-0001-5161-6831,https://ror.org/01x05rm94,2001-04-01,2022-03-31
0000-0001-5161-6831,https://ror.org/01x05rm94,2001-04-01,2022-03-31
0000-0001-5161-6831,https://ror.org/01x05rm94,2001-04-01,2022-03-31
0000-0001-5161-6831,https://ror.org/057zh3y96,1992-04-01,1995-03-31
0000-0001-5161-6831,https://ror.org/057zh3y96,1992-04-01,1995-03-31
0000-0001-5161-6831,https://ror.org/057zh3y96,1992-04-01,1995-03-31
0000-0001-5164-8227,http://dx.doi.org/10.13039/501100004869,,
0000-0001-5165-8679,27faf32e,2017-09-15,2022-06-10
0000-0001-5165-8679,https://ror.org/00f54p054,2022-08-01,
0000-0001-5165-9890,26907,2009-09-01,2010-06-30
0000-0001-5165-9890,27068,2010-09-01,2014-06-04
0000-0001-5165-9890,6221,2019-01-01,
0000-0001-5165-9890,6752,2004-09-01,2009-05-31
0000-0001-5165-9890,7120,2014-09-01,2018-12-31
0000-0001-5166-0736,12652,2001-01-01,2008-01-01
0000-0001-5166-0736,12652,2001-01-01,2008-01-01
0000-0001-5166-0736,35044,2013-01-01,2016-01-01
0000-0001-5166-0736,35044,2013-01-01,2016-01-01
0000-0001-5166-0736,4818c188,2016-10-12,
0000-0001-5166-0736,4818c188,2016-10-12,
0000-0001-5166-0736,ce6ca8cd,2010-01-01,2013-01-01
0000-0001-5166-0736,ce6ca8cd,2010-01-01,2013-01-01
0000-0001-5173-1661,1259,1994-09-01,2000-04-30
0000-0001-5173-1661,1259,1994-09-01,2000-04-30
0000-0001-5173-1661,1259,1997-09-01,1999-12-31
0000-0001-5173-1661,1372,2014-08-15,2018-08-15
0000-0001-5173-1661,1372,2008-07-01,2014-08-15
0000-0001-5173-1661,1438,2007-09-01,2008-05-31
0000-0001-5173-1661,1438,2007-08-01,2008-05-31
0000-0001-5173-1661,c3d24dae,2022-01-01,
0000-0001-5173-1661,c3d24dae,2018-08-15,
0000-0001-5173-1661,grid.504876.8,2002-05-15,2002-08-01
0000-0001-5173-1661,http://dx.doi.org/10.13039/100007863,2000-08-01,2007-05-01
0000-0001-5173-1661,http://dx.doi.org/10.13039/100007863,2000-08-01,2002-05-01
0000-0001-5173-1661,http://dx.doi.org/10.13039/100007863,2000-08-01,2007-05-01
0000-0001-5174-0306,1190,2017-01-09,2019-08-31
0000-0001-5174-0306,1190,2017-01-09,2019-08-31
0000-0001-5174-0306,1190,2017-01-09,2019-08-31
0000-0001-5174-0306,1190,2017-01-09,2019-08-31
0000-0001-5174-0306,1190,2017-01-09,2019-08-31
0000-0001-5174-0306,199468,2020-02-03,
0000-0001-5174-0306,199468,2020-02-03,
0000-0001-5174-0306,199468,2020-02-03,
0000-0001-5174-0306,199468,2020-02-03,
0000-0001-5174-0306,199468,2020-02-03,
